Date	Type	Country	Area	Location	Activity	Name	Sex 	Age	Fatal (Y/N)	Grad Injury	Location of Injury	Type of Shark	Size of Shark	Investigator or Source	pdf
	Sea Disaster	SOUTH ATLANTIC OCEAN	Off Libya		HMAS Parramatta torpedoed & sunk by the U-559	Gordon Annison	M	0	N	Lacerations	Unknown	Tiger shark	Unknown	Canberra Times, 12/3/1941	aAnnison
1941-11-24	Sea Disaster	SOUTH ATLANTIC OCEAN	North of Pernambuco, Brazil		British cruiser Dunedin torpedoed & sunk by the U-124	nan		0	Y	Fatal	Unknown	Unknown	Unknown	GSAF	Dunedin
1941-11-19	Sea Disaster	AUSTRALIA	Western Australia	Shark Bay	German raider Kormoran was sunk in an engagement with HMAS Sydney	 from the Kormoran	M	0	N	Injury	Unknown	Unknown	Unknown	Canberra Times, 12/4/1941	Kormoran
1941-09-25	Unprovoked	CARIBBEAN SEA		125 nm north of Aruba	SS Ethel Skakel foundered in Central America Hurricane of 1941	Scotty	M	0	Y	Fatal	Unknown	Unknown	Unknown	Washington Post. 10/2/1941	Scotty
	Provoked	USA	New York	Montauk	Fishing	Captain Jack Kelly		0	N	Injury	Unknown	Unknown	Unknown	New York Times, 8/21/1941	RKelly
1941-08-05	Invalid	AUSTRALIA	New South Wales	Parramata River	Swimming	Ronald Dickerson	M	0		Fatal	Unknown	Unknown	Unknown	Canberra Times, 8/6/1941	Dickerson
1941-08-01	Unprovoked	USA	South Carolina	Sullivan's Island at entrance to Charleston Harbor	Swimming at edge of channel	Howard E. Sweatmon, a soldier	M	20	N	Injury	Unknown	Unknown	Unknown	V.M. Coppleson (1958), p.153; T. Helm, p.226; NY Times, 8/3/1941, p.28	Sweatmon
1941-07-22	Boating	USA	New Jersey	Brielle, Monmouth County (Offshore)	Fishing for tuna	Fishing boat  Bingo III , occupants: Michael Perkins, George Hornack & Capt. Lonergan 		0	N	No injury	Unknown	Mako shark	Unknown	N.Y Times, 7/23/1941; SAF Case  #951	boatBingo
1941-07-01	Provoked	USA	Hawaii	Nankuli, O'ahu	Fishing	Hisao Shimoto	M	0	N	Injury	Unknown	lb shark	100	G.H. Balazs & A.K.H. Kam; J. Borg, p.71; L. Taylor (1993), pp.98-99	Shimoto
1941-06-15	Provoked	USA	New York	15 miles south of Jones Inlet	Fishing from 32' boat	Paul Ruhle	M	43	N	Injury	hand	Unknown	2.	New York Times, 6/16/1941; V.M. Coppleson (1958)	Ruhle
	Sea Disaster	PACIFIC OCEAN	Off coast of Ecuador	Between Esmeraldas & Salinas	Ditched aircraft, 3 men in the water. Swam for 31 hours	Colonel B. & Sub-Lieutenant D.	M	0	Y	Fatal	Unknown	Unknown	Unknown	G.A. Llano in Airmen Against the Sea, pp.67-68; V.M. Coppleson (1962), p.257; A. Sharpe, pp.43-44; SAF Case #740	Ecuador
1941-03-24	Sea Disaster	SOUTH ATLANTIC OCEAN		750 miles off the African coast	The troopship Britannia was sunk by the German raider Thor		M	0	N	Injury	whose leg	Unknown	Unknown	"NY Times, 4/4/1941 
"	Britannia
1941-03-09	Provoked	USA	California	Santa Monica, Los Angeles County	Fishing	Frank Martinez	M	53	N	Injury	hand	Mako shark	1.	Press clipping dated 3/11/1941	Martinez
1941-02-13	Provoked	AUSTRALIA	New South Wales	Wollongong	Fishing	Robert See	M	34	N	Injury	Unknown	Unknown	Unknown	Canberra Times, 2/18/1941, p.4	See
1941-02-01	Provoked	JAMAICA	Trelawney Province	Bogue (near Falmouth)	Seine netting	Albert Buchanan	M	0	N	Injury	Unknown	Unknown	Unknown	Daily Gleaner, 2/3/1941, p. 1	Buchanan
1941-01-29	Unprovoked	SOUTH ATLANTIC OCEAN	In Convoy OB 274	Off Sierra Leone	Rescuing seaman after ship sunk by German raider	David Hay	M	19	N	Injury	Unknown	Unknown	Unknown	The London Gazette, 7/8/1941	Hay
	Sea Disaster	ATLANTIC OCEAN			Adrift on raft after their ship was sunk by an Axis raider 	a Scotsman & an Indian servant	M	0	Y	Fatal	Unknown	Unknown	Unknown	Lethbridge Herald. 11/17/1941	ScotsmanIndian
	Unprovoked	SOLOMON ISLANDS	New Georgia	Munda	Floating		M	0	N	Injury	Unknown	Unknown	Unknown	Chapman, p.182	hMunda
	Unprovoked	IRAN	Khuzestan Province	Ahvaz, on the Karun River	Standing	a old fisherman	M	0	Y	Fatal	Unknown	Unknown	Unknown	Lt. Col. R. S. Hunt, pp.80-81	foldfisherman
	Unprovoked	IRAN	Khuzestan Province	Ahvaz, on the Karun River		a local dignitary	M	0	Y	Fatal	Unknown	Unknown	Unknown	Lt. Col. R. S. Hunt, pp.81-82	elocaldignitary
	Unprovoked	IRAN	Khuzestan Province	Ahvaz, on the Karun River		a Gurkha soldier	M	0	N	Injury	Unknown	Unknown	Unknown	Lt. Col. R. S. Hunt, p.80	dGurkhasoldier
	Unprovoked	IRAN	Khuzestan Province	Ahvaz, on the Karun River	Slipped off rocks and fell into the water	boy	M	6	Y	Fatal	Unknown	Unknown	Unknown	Lt.Col. R.S. Hunt, p.80	csmallboy
	Unprovoked	IRAN	Khuzestan Province	Ahvaz, on the Karun River	Standing	I.S.A.C. Ambulance driver	M	0	Y	Fatal	Unknown	Unknown	Unknown	Lt.Col. R.S. Hunt, p.80	bIASCambulancedriver
	Unprovoked	PAPUA NEW GUINEA		Gaire Village, between Rigo & Port Moresby		Renagi Loi	M	14	N	Injury	Foot	Unknown	Unknown	V.M. Coppleson (1962), p.248	aRenagiLoi
1940-12-28	Unprovoked	AUSTRALIA	New South Wales	Stockton Beach, Newcastle	Standing on sandbank	Clarence Hammond	M	23	Y	Fatal	Unknown	Unknown	Unknown	J. Green, p.33; V.M. Coppleson (1958), p.235;  G.P. Whitley (1951), p. 192	Hammond
1940-12-20	Unprovoked	SOUTH AFRICA	KwaZulu-Natal	Inyoni Rocks, South Coast	Swimming	Desmond Chandley	M	17	Y	Fatal	Unknown	Unknown	Unknown	R. Kahn, M. Levine, GSAF	Chandley
	Unprovoked	AUSTRALIA	Queensland	Double Island Beach	Fishing	Jack Ryan	M	0	N	Minor injury	Unknown	Unknown	Unknown	Soda Springs Sun, 12/19/1940	RJackRyan
1940-12-10	Provoked	AUSTRALIA	Northern Territory	Darwin	Collecting fish in military trap when bitten by captured shark that had been shot by soldiers with Garten	Private. Michael Garten	M	0	N	Injury	Unknown	Unknown	Unknown	V.M. Coppleson; G.P. Whitley (1951), p. 192	Garten
	Unprovoked	PANAMA	Panama Bay (Pacific Ocean)	Otoque Island	Bathing	Roberto Menacho	M	18	Y	Fatal	Unknown	Unknown	5.	V.M. Coppleson (1958), p.263	Menacho
	Unprovoked	USA	South Carolina	Folly Beach, Charleston County	Standing	William Tanner	M	0	N	Injury	Unknown	Unknown	Unknown	V.M. Coppleson (1958), p.253	bTanner
	Unprovoked	USA	South Carolina	Folly Beach, Charleston County	Standing 	Harvey H. Haley (rescuer)	M	0	N	Injury	Unknown	Unknown	Unknown	V.M. Coppleson (1958), p.253 	aHaley
1940-06-30	Unprovoked	USA	North Carolina	Holden Beach, Brunswick County	Fishing	William T. Dye	M	0	N	Injury	Unknown	Unknown	3 m	C. Creswell, GSAF; F. Schwartz, p.23	Dye
1940-03-31	Unprovoked	SOUTH AFRICA	KwaZulu-Natal	Danger Pool, Winkelspruit, South Coast	Treading water	Joe Lees	M	25	Y	Fatal	right thigh	White shark	Unknown	G. Cawston;  H. Robson, M. Levine, GSAF	Lees
1940-03-20	Unprovoked	AUSTRALIA	New South Wales	Gerringong	Free diving for lobster	Smiles Walker	M	0	N	Injury	Unknown	Wobbegong shark	Unknown	Sydney Morning Herald, 3/21/1940; V.M. Coppleson (1962), p.251	Walker
1940-02-22	Unprovoked	SOUTH AFRICA	KwaZulu-Natal	Inyoni Rocks, South Coast	Swimming	Leslie Plummer Lund	M	17	Y	Fatal	left thigh	White shark	160-	H. Robson, M. Levine, GSAF 	Lund
1940-02-20	Boating	AUSTRALIA	New South Wales	Sydney Harbour	Canoeing	"""a youth"""		0	N	No injury	Unknown	Unknown	Unknown	G.P. Whitley, p.265	canoeSydney
1940-02-04	Unprovoked	AUSTRALIA	New South Wales	North Brighton, Botany Bay	Wading	John William Eke	M	55	Y	Fatal	Unknown	Unknown	Unknown	V.M. Coppleson (1958), p.69; A. Sharpe, p.66	Eke
1940-01-29	Unprovoked	AUSTRALIA	Queensland	Brisbane River	Dived into the water		M	17	N	Injury	Unknown	small shark	Unknown	Morning Bulletin, 1/30/1929	BrisbaneRiver
1940-01-23	Unprovoked	AUSTRALIA	New South Wales	North Brighton, Botany Bay	Swimming	Maxwell Farrin	M	13	Y	Fatal	left leg	Unknown	3 m	V.M. Coppleson (1958), p.69; A. Sharpe, pp.65-66	Farrin
1940-01-15	Unprovoked	AUSTRALIA	Queensland	Surfers Paradise, near Southport	Swimming	Douglas Bright	M	22	N	Injury	Unknown	Unknown	Unknown	V.M. Coppleson (1958), pp. 93 & 238	Bright
1940-01-07	Unprovoked	SOUTH AFRICA	KwaZulu-Natal	Warner Beach, South Coast	Swimming 	Frederick Aubrey Hooper	M	18	Y	Fatal	Unknown	Unknown	2.	R. Guy, T. Jucker & M. Levine, GSAF  	Hooper
1940-01-01	Unprovoked	AUSTRALIA	Queensland	Malagil, Barrier Reef	Diving for trochus	native diver	M	0	N	Injury	Unknown	Unknown	Unknown	J. Green, p.33; V.M. Coppleson (1958), p.245	nativediver
	Boating	SLOVENIA	Adriatic Sea	Koper	Boating	nan		0	N	Injury	Unknown	White shark	Unknown	A. De Maddalena; M. Zuffa (pers. Comm.)	fboatSlovenia
	Unprovoked	NEW GUINEA	Bwagaoia	Bagalina, North coast Misima Island		small girl	F	0	Y	Fatal	Unknown	Unknown	Unknown	A. Bleakley;  A. M. Rapson, p.148	esmallgirl
	Unprovoked	PAPUA NEW GUINEA	Western Papuan Gulf	Kerema 	male	a native		0	N	Injury	Unknown	Unknown	Unknown	Papuan Villager, 11/1940	dKerema
	Invalid	SOUTH AFRICA	Eastern Cape Province	Kidd's Beach	Swimming	nan		0		Fatal	Unknown	Unknown	Unknown	D. Davies, p. 102	cKiddsBeach
	Invalid	SOUTH AFRICA	KwaZulu-Natal	Winkelspruit		Indian fe	F	0		Fatal	Unknown	Unknown	Unknown	V.M. Coppleson (1958), p.247; SAF Case #161. Unable to authenticate this incident in local records or press reports.	bIndianFemale
	Invalid	SOUTH AFRICA	Eastern Cape Province	Kowie River Mouth, Port Alfred	Standing in water with child in her arms	fe	F	0		Fatal	Unknown	Unknown	Unknown	E. Skaife, V. M. Coppleson (1958), p.247;  M. Levine, GSAF	aWomanKowie
1939-12-28	Invalid	AUSTRALIA	New South Wales	Cabramatta Creek, Georges River 	Swimming	Percy Carroll	M	40		Fatal	Unknown	Unknown	6'	V.M. Coppleson (1958), pp.44 & 234; SAF Case #39	Carroll
1939-12-14	Unprovoked	AUSTRALIA	Queensland	Rubbish Dump Creek, Mackay	Swimming 	Frank Gurran	M	20	Y	Fatal	left foot	Unknown	2.	Sydney Morning Herald, 12/15/1939; V.M. Coppleson (1958), p.238 	Gurran
1939-11-23	Boating	AUSTRALIA	New South Wales	Wollongong		boat of Thomas Baker		0	N	No injury	Unknown	Unknown	16'	Northern Miner, 11/25/1939	Wollongong
1939-11-11	Provoked	AUSTRALIA	New South Wales	Maroubra		boat		0	N	Injury	Unknown	whaler shark	Unknown	G.P. Whitley, p.264	boatMaroubra
1939-11-09	Boating	AUSTRALIA	New South Wales	Wollongong		another boat		0	UNKNOWN	Injury	Unknown	Unknown	Unknown	G.P. Whitley, p.264	boatWollongong
1939-11-06	Boating	AUSTRALIA	New South Wales	Wollongong		boat		0	UNKNOWN	Injury	Unknown	Unknown	Unknown	G.P. Whitley, p.264	boatWollongong
	Unprovoked	SAMOA			Fishing	a Samoan boy	M	0	Y	Fatal	Unknown	Unknown	Unknown	Canberra Times, 11/2/1939	RSamoa
	Unprovoked	AUSTRALIA	Queensland	Near Restoration Rock off Portland Roads 	Free diving for trochus shell, swimming to dinghy	Small Cobbe	M	27	N	Injury	Both thigh	Tiger shark	4.	G.P. Whitley, p. 20; V.M. Coppleson  (1958), p. 99	RCobbe
1939-10-04	Unprovoked	USA	Hawaii	Kane'ohe Bay, Mokapu, O'ahu	Spearfishing & had just speared a ulua	James Akina	M	0	N	Injury	Unknown	Unknown	1.	G.H. Balazs & A.K.H. Kam; J. Borg, p.71; V.M. Coppleson (1962), p.253	Akina
	Unprovoked	AUSTRALIA	Torres Strait 	Near Mabuiag Island	Pearl diving	Sammy Mira	M	0	N	Injury	Unknown	Tiger shark	Unknown	Cairns Post, 9/27/1939	Mira
1939-08-01	Provoked	USA	California	Off San Pedro, Los Angeles County	Fishing	John Ray	M	33	N	Injury	Unknown	Unknown	Unknown	L.A. Times, 8/11/1939	Ray
1939-07-18	Sea Disaster	PACIFIC OCEAN			Japanese freighter Bokuyo Maru burned & sank	child		3	Y	Fatal	Unknown	Unknown	Unknown	Syracuse Herald, 7/30/1939	ChildBMaru
1939-07-16	Provoked	BAHAMAS	Andros Islands	Blue Hole	Dress diving, filming shark & pulling it through the water for a motion picture scene	E.F. MacEwan	M	38	N	Minor injury	Unknown	Nurse shark	2.	Evening Sun (Baltimore), 7/31/1939; E.R.F. Johnson	MacEwan
1939-07-14	Provoked	USA	Texas	West Bay, 19 miles from Galveston	Seine netting	John Bolling	M	0	N	Injury	Unknown	Unknown	18'	Galveston Daily News, 7/20/1939, p.4	Bolling
1939-05-03	Unprovoked	USA	Virginia	At sea, several hundred miles south east of Cape Henry, Virginia	Washed off freighter Huncliff by a freak wave	John Heagan	M	0	Y	Fatal	Unknown	Unknown	Unknown	L.A. Times, 5/7/1939; NY Times, 5/8/1939, p.18, col.1; V.M. Coppleson , p.253	Heagan
	Unprovoked	PAPUA NEW GUINEA	Morobe Province	Bulolol	Dived for a coin	child	M	9	Y	Fatal	Unknown	Unknown	Unknown	Cairns Post, 4/12/1939	RChild
1939-03-24	Unprovoked	PAPUA NEW GUINEA	Central Province	Port Moresby	Dived for a coin	Raho-Heni	M	0	Y	Fatal	Unknown	large shark	Unknown	The Papuan Villager, March 1939; G.P. Whitley, p.21	RahoHeni
	Unprovoked	INDIA	Tamil Nadu	 Chennai (formerly Madras)	Bathing/Swimming	Harold Dickinson	M	0	Y	Fatal	Unknown	Unknown	Unknown	S. Munusamy	bDickinson
	Provoked	NEW ZEALAND	North Island	Matakana River Mouth	Fishing	T. S. Ramsbottom	M	0	N	Lacerations	hand	Unknown	7'	Auckland Star, 2/28/1939	aRamsbottom
1939-01-12	Unprovoked	AUSTRALIA	New South Wales	Clarence River	Scooping prawns	Earl Yager & Riley McLachlan	M	0	N	No injury	Unknown	Unknown	7'	G.P. Whitley, p.264	RClarenceRiver
	Sea Disaster	SRI LANKA			She was on a ship that was torpedoes & was in the water awaiting rescue	A W.R.E.N.	F	0	N	Injury	Unknown	Unknown	Unknown	V.M. Coppleson (1962), p.258	eWREN
	Boating	BAHAMAS	Andros Islands	Middle Bight	Fishing	12' skiff, occupant: E.R.F. Johnson		0	N	No injury	Unknown	Tiger shark	Unknown	E.R.F. Johnson	dskiff
	Unprovoked	VENEZUELA	Carabobo	El Falito, near Puerto Cabello	Bathing		M	0	Y	Fatal	Unknown	Unknown	Unknown	H.E. Iverson	cHaberdasher
	Unprovoked	CURACAO	Ascension Bay		Diving	Hans Hass	M	0	N	No injury	Unknown	Tiger shark	Unknown	H. Hass in Diving To Adventure, p.169	bHass
	Unprovoked	PAPUA NEW GUINEA	Abau Sub District, Central Province	Aroma Passage	Swimming to anchored boat	a  from Garvakala	M	0	Y	Fatal	Unknown	Unknown	Unknown	A. Bleakley;  A. M. Rapson, p.148	aGarvakala
1938-12-27	Unprovoked	AUSTRALIA	New South Wales	North Beach, Belligen River	Swimming	Daniel Graham	M	19	Y	Fatal	Unknown	Unknown	Unknown	G.P. Whitley, p.264	Graham
1938-10-05	Provoked	AUSTRALIA	Queensland	Between Wynnum & St. Helena Island	Fishing	Jack Lopez	M	18	N	Injury	left foot	Tiger shark	6'	Cairns Post, 10/6/1938	Lopez
1938-08-29	Unprovoked	CHINA	North China	Outer harbor, Hong Kong	Swimming alongside warship   Tsingt-ao	Ulrick Baker or William M. Baker, a sailor from H.M.S. Folkestone	M	0	Y	Fatal	Unknown	Unknown	Unknown	New York Times (William Baker), 8/30/1938; [SAF Case #934]; V.M. Coppleson  (1958), p.257; A. MacCormick, p.134	Baker
1938-08-18	Provoked	USA	California	Near Encino, Los Angeles County	Fishing	Warren William	M	0	N	Lacerations	hand	Unknown	Unknown	Washington Post. 8/19/1938, p.24	WarrenWilliams
1938-07-18	Unprovoked	USA	South Carolina	Charleston	Swimming	Maynard Tanner	M	0	N	Injury	Foot	Unknown	Unknown	Kingsport Times, 7/18/1938	MaynardTanner
	Provoked	TURKEY			Fishing	Ahmed	M	0	N	Injury	Unknown	Unknown	Unknown	C. Moore, GSAF	RTurkey
1938-07-17	Provoked	USA	California	Dana Point, Orange County	Fishing, removing gaff from shark's mouth	Harry Griffet, passenger on fishing boat Flyer	M	27	N	Injury	Unknown	Unknown	Unknown	L.A. Times, 7/18/1938 	Griffet
1938-07-12	Unprovoked	AUSTRALIA	Torres Strait	Off Bathurst Island	Hardhat diving from Japanese pearling lugger, Reiyo Maru	Okada	M	25	Y	Fatal	Unknown	Unknown	Unknown	G.P. Whitley, p.264; V.M. Coppleson  (1958), p.244; Sydney Morning Herald, 7/12/1938	Okada
1938-06-17	Unprovoked	NICARAGUA	Lower San Juan River		The schooner Elizabeth, bound from Bluefields, Nicaragua to the river port of San Carlos foundered	Elena Hodgson & Isaac Ollis		0	Y	Fatal	Unknown	bull shark	Unknown	NY Times; L. Schultz & M. Malin, p.558	HodgsonOllis
1938-06-08	Unprovoked	AUSTRALIA	New South Wales	Manly	Hardhat diving	Charles Edwards	M	0	N	No injury	Unknown	Unknown	6'	The Canberra Times, 6/10/1938	Edwards
1938-05-26	Unprovoked	COSTA RICA	Nicoya Peninsula		Fishing	Laureano Villareal	M	0	Y	Fatal	Unknown	Unknown	Unknown	V.M. Coppleson  (1958), p.259 	RVillareal
1938-05-15	Unprovoked	IRAQ	Basrah City	Ashar Canal, where people wash clothes & kitchen pans	Swimming, naked		M	0	N	Injury	right foot	Bull shark	Unknown	B.W. Coad & L.A.J. Al-Hassan	Basrah
	Unprovoked	INDIA	West Bengal	Hooghley River near Budge-Budge	Bathing	nan		0	Y	Fatal	Unknown	Unknown	Unknown	The Times (London), 5/2/1938, p.15	RIndia
	Unprovoked	FIJI	Viti Levu	Singatoka River	Wading		M	0	N	Injury	Unknown	Unknown	Unknown	Time Magazine, 3/21/1938	RFijianMethodist
1938-03-08	Unprovoked	AUSTRALIA	Northern Territory	Liverpool River	Canoe capsized by shark	aboriginal 	M	0	N	Injury	Unknown	Unknown	Unknown	V.M. Coppleson  (1958) (in text); Sydney Morning Herald, 3/16/1938	LiverpoolRiver
1938-01-21	Provoked	AUSTRALIA	New South Wales	Tweed Heads	Fishing	Robert Corowa	M	0	N	Injury	Unknown	Tiger shark	3'	Courier-Mail, 1/22/1938; Sydney Morning Herald 1/26/1938; Whitley, p.264	Corowa
1938-01-18	Provoked	SOUTH AFRICA	KwaZulu-Natal	Vetchs Pier, Durban	Watching seine netters with friends, one of whom picked up a netted shark	George Parkin	M	13	N	Injury	Unknown	Unknown	Unknown	M. Levine, GSAF	Parkin
1938-01-14	Invalid	AUSTRALIA	New South Wales	Lady Martins Beach, Sydney Harbor	Diving off jetty	Alan Murray	M	24		Fatal	Unknown	Unknown	Unknown	The Canberra Times, 1/15/1938	Murray
1938-01-02	Unprovoked	AUSTRALIA	New South Wales	Cronulla	Surf skiing	Ernest. S. Baker	M	0	N	No injury	Unknown	Unknown	Unknown	Sydney Morning Herald, 1/3/1938;  J. Green, p.33; V.M. Coppleson (1958), p.42 NOTE: Coppleson gives date as January 1937	Baker
	Unprovoked	EGYPT		Mersa Matruh	Sponge diving	s	M	0	Y	Fatal	Unknown	Unknown	Unknown	C. Moore, GSAF	eREgypt
	Unprovoked	TRINIDAD & TOBAGO	Trinidad	Manzanilla Bay, St. Andrew County	Body surfing	Donald Fraser Huggins	M	50	N	Injury	hand	colored shark	Unknown	E. Pace, FSAF	dHuggins
	Provoked	USA	North Carolina	On one of the sounds near Wilmington	Fishing	rowboat, occupant: Joe Whitted, Christopher Quevedo & 2 Willard Brothers	M	0	N	No injury	Unknown	Unknown	Unknown	C. Creswell, GSAF; J. Hair, p.27	cWillards
	Unprovoked	AUSTRALIA	Torres Strait		Diving	Sammy	M	17	N	Injury	Unknown	Unknown	Unknown	V.M. Coppleson (1958), p.245	bSammy
	Unprovoked	SOUTH AFRICA	KwaZulu-Natal	Bilanhlolo River Mouth, Ramsgate	Swimming	black 	M	0	N	Injury	Unknown	Unknown	Unknown	H. Greenwood	ablackmale
1937-11-13	Sea Disaster	USA	North Carolina	Off Cape Hatteraa	Tzenny Chandris, a Greek freighter laden with scrap iron, foundered in heavy weather	3 crewmen	M	0	Y	Fatal	Unknown	Unknown	Unknown	Stevens Point Journal, 11/15/1937; TIME, 11/22/1937; Life Magazine, 11/29/1937	TzennyChandris
1937-11-11	Unprovoked	AUSTRALIA	Torres Strait 	Ota Reef	Diving for trochus	Nelan Kris	M	17	Y	Fatal	Unknown	Unknown	12'	J. Green, p.33; V.M. Coppleson  (1958), p.244	Kris
	Sea Disaster	SOLOMON ISLANDS			Two canoes with 14 aboard blown to sea in a storm. While adrift for 3 week, one person fell overboard and was killed by a shark	nan	M	0	Y	Fatal	Unknown	Unknown	Unknown	The Argus, 11/6/1937	RSolomonIslands
	Unprovoked	AUSTRALIA	Queensland 	Kirra Beach, Coolangatta	Swimming 	Jack Brinkley	M	25	Y	Fatal	Unknown	Tiger shark	Unknown	J. Green; V.M. Coppleson, pp.51, 81-84 & 234; A. Sharpe, pp.94-9 6; H. Edwards, pp.114-115	bBrinkley
	Unprovoked	AUSTRALIA	Queensland	Kirra Beach, Coolangatta	Swimming 	Norman Girvan	M	18	Y	Fatal	Unknown	Tiger shark	3.	V.M. Coppleson, pp.51, 81-84 & 234;  A. Sharpe, pp.94-96; H. Edwards, pp.114-115  	aGirvanpub
	Unprovoked	AUSTRALIA	New South Wales	Byron Bay 	Swimming near jetty	Thomas McDonald	M	16	N	Injury	Unknown	Unknown	2.	The Age, 10/25/1937; V.M. Coppleson (1958), p.234	bMcDonald
	Unprovoked	AUSTRALIA	New South Wales	Byron Bay 	Surf skiing	Glen Denning	M	0	N	No injury	Unknown	Unknown	2.	The Age, 10/25/1937; V.M. Coppleson (1958), p.234	aDenning
	Provoked	CROATIA	 Split-Dalmatia County	Bisk	Fishing	2 s	M	0	N	Injury	Unknown	Unknown	Unknown	C. Moore, GSAF	ROmis
1937-09-12	Boating	SCOTLAND	Argyllshire	Arran	Pleasure boating	Clyde steamer Glen Sannox		0	N	No injury	Unknown	Basking shark	Unknown	Daily Mail (undated clipping); A Buttigieg 	GlenSannox
1937-09-11	Boating	SCOTLAND	Arran	Fallen Rocks	Fishing	boat: Lady Charlotte, occupants: C. McSporran & his crew		0	N	No injury	Unknown	Basking shark	Unknown	Times (London), 9/13/1937; C. Creswell, GSAF	LadyCharlotte
1937-09-01	Unprovoked	SCOTLAND	Argyll	Carradale Bay, Kintyre Peninsula	Rowing	Captain Angus Brown, his son & brother	M	0	N	Injury	Unknown	Basking shark	Unknown	Times (London), 9/2/1937; Fairfax, pp. 66-67	Scotland
1937-08-31	Unprovoked	AUSTRALIA	Torres Strait	Mabuiag Island, between New Guinea & Australia	Diving from the lugger San, operated by the Protector of the Aborigines	Iona Asai	M	38	N	Injury	Unknown	Tiger shark	9'	The Maitland Daily Mercury, 8/31/1937	IonaAsai
1937-08-16	Invalid	TURKEY		Istanbul	Swimming		M	0		No injury	Unknown	Unknown	Unknown	C. Moore. GSAF	Istanbul
1937-08-02	Unprovoked	PANAMA	Colon Province	Limon Bay	Swimming	Jorge Fernandez	M	21	Y	Fatal	Unknown	Unknown	Unknown	The Gleaner, 8/12/1937	Fernandez
	Unprovoked	AUSTRALIA	Northern Territory	Elcho Island	Pearl diving	A Japanese hard hat diver	M	0	Y	Fatal	Unknown	Unknown	Unknown	Mansfield News-Journal, 7/16/1937, p.11	RJapaneseDiver
1937-07-06	Invalid	ITALY	Liguria	Borgeo Verezzi		row boat: 2 occupants		0		No injury	Unknown	Unknown	Unknown	C. Moore. GSAF	Italy
	Provoked	AUSTRALIA	New South Wales	Wallamba River, near entrance to Wallis Lake	Fishing from launch, fell into net with shark	David Emmerton	M	0	N	Injury	Unknown	Whaler shark	4 m	Sydney Morning Herald, 6/19/1937; V.M. Coppleson (1958) (in text); SAF Cases #549 & 550	bEmmerton
1937-06-15	Unprovoked	USA	Texas	Galveston	Swimming	Hal A. Thompson, Jr.	M	14	Y	Fatal	Unknown	Unknown	Unknown	Amarillo Globe, 6/16/1937 	aThompson
1937-05-30	Provoked	USA	Texas	Galveston	Fishing	William Siskalo	M	0	N	Injury	Unknown	Unknown	4'	Galveston Daily News, 6/1/1937	Siskalo
1937-05-15	Unprovoked	AUSTRALIA	Queensland	Ross River, Townsville	Refused permission to cross on the ferry, he was swimming across the river	William Tennant	M	33	Y	Fatal	right leg	lb shark	2 	V.M. Coppleson (1958), pp.90 & 238	Tennant
1937-03-26	Invalid	AUSTRALIA	New South Wales	South Cronulla	Bathing	Austin Shaw	M	16		Fatal	Unknown	Unknown	Unknown	Canberra Times, 3/29/1937, p.1	Shaw
1937-03-09	Invalid	AUSTRALIA	Victoria	Port Melbourne	Swimming	Chief Petty Officer A. E. King	M	43		Fatal	Unknown	Unknown	Unknown	Canberra Times, 3/10/1937;Sydney Morning Herald, 3/10/1937; Whitley, p.264	King
1937-02-13	Unprovoked	AUSTRALIA	New South Wales	Bar Beach, Newcastle	Swimming	John Welsh	M	32	Y	Fatal	Unknown	White shark	Unknown	V.M. Coppleson (1958), pp.77 & 234; A. Sharpe, p.84; J.West, ASAF	Welsh
1937-02-11	Unprovoked	AUSTRALIA	New South Wales	Kempsey	Swimming ashore after launch capsized	Mr. Redman	M	0	N	Injury	Foot	Unknown	Unknown	Canberra Times, 2/12/1937	Redman
1937-02-04	Boating	AUSTRALIA	New South Wales	 Botany Bay 	Fishing	a launch, occupants- Albert Cree & John Blacksall		0	N	No injury	Unknown	Unknown	Unknown	Canberra Times, 2/5/1937	BotanyBaylaunch
1937-02-03	Provoked	AUSTRALIA	Queensland	Moreton Island	Fishing	Edgar Woodley	M	20	N	Injury	Unknown	Unknown	3'	G.P. Whitley, p.264	Woodley
1937-02-02	Invalid	AUSTRALIA	South Australia	Port Germein	12 of the Penang's crew were returning to the ship when their 12' dinghy capsized	, one of the crew of the Penang	M	0		Fatal	Unknown	Unknown	Unknown	West Australian, 2/8/1937; G.P. Whitley	Penang
1937-01-27	Provoked	AUSTRALIA	New South Wales	Lake Conjola, near Milton	Holding shark's tail 	Raymond Hemsworth	M	18	N	Injury	Unknown	nurse shark	8'	Northern Standard, 1/29/1937	Hemsworth
	Unprovoked	AUSTRALIA	Torres Strait			O'Leary, a Torres Strait islander	M	0	N	Injury	Unknown	Unknown	Unknown	Rpt. Dept. Harb. Mar. (Qld), 1937, p.13; G.P. Whitley, p.264	OLeary
1936-12-30	Unprovoked	USA	Hawaii	Honokohau, Maui	Diving, attempting to retrieve body of drowning victim wedged between rocks	John Kekuhi	M	0	N	Injury	Unknown	Unknown	6 m	J. Borg, p.71; L. Taylor (1993), pp.98-99	Kekuhi
